# Translations for Path of Exile 1.
# The first line defines the order of languages. Every line after contains a translation.
# Append ".png" to the English name to resolve the image name. Language names resolve to flag icons the same way.
English, French, German, Japanese, Portuguese, Russian, Spanish, Thai, Tag
Tattoo of the Ramako Archer, Tatouage de l'Archer de Ramako, Tätowierung des Ramako-Bogenschützen, ラマコの射手のタトゥー, Tatuagem do Arqueiro de Ramako, Татуировка Лучника Рамако, Tatuaje de arquero de Ramako, ลายสัก นักธนูรามาโค, tattoo-of-the-ramako-archer
Blighted Delirium Orb, Orbe infesté de Délire, Befallene Sphäre des Deliriums, 荒廃したデリリウムオーブ, Orbe Delirante Infestado, Заражённая сфера Делириума, Orbe de delirio infestado, ลูกแก้วเดลิเรียมเชื้อราร้าย, blighted-delirium-orb
Violet Oil, Huile violette, Violettes Öl, スミレ色のオイル, Óleo Violeta, Фиолетовое масло, Aceite violeta, Violet Oil, violet-oil
Omen of Death-dancing, Présage de danse avec la mort, Omen des Totentanzes, 死の舞のお告げ, Presságio da Morte Dançante, Предсказание танца со смертью, Augurio de danza con la muerte, ลางบอกเหตุระบำมรณะ, omen-of-death-dancing
Blacksmith's Delirium Orb, Orbe forgé de Délire, Geschmiedete Sphäre des Deliriums, 鍛冶屋のデリリウムオーブ, Orbe Delirante do Ferreiro, Кузнечная сфера Делириума, Orbe de delirio del herrero, ลูกแก้วเดลิเรียมช่างตีเหล็ก, blacksmiths-delirium-orb
Splinter of Chayula, Esquille de Chayula, Chayulas Splitter, チャユラの破片, Lasca de Chayula, Осколок Чаюлы, Astilla de Chayula, ชิ้นส่วนชายูล่า, splinter-chayula
Lesser Eldritch Ichor, Ichor surnaturel mineur, Kleiner übernatürlicher Ichor, エルドリッチイコル（小）, Fluido Ancestral Menor, Мелкий зловещий ихор, Icor sobrenatural menor, น้ำหนองผิดธรรมชาติชั้นต่ำ, lesser-eldritch-ichor
Fragment of the Hydra, Fragment de l'Hydre, Fragment der Hydra, ヒュドラの断片, Fragmento da Hidra, Фрагмент Гидры, Fragmento de la hidra, ชิ้นส่วนไฮดร้า, hydra
Mortal Ignorance, Ignorance mortifère, Tödliche Ignoranz, 定命の者の無知, Ignorância Mortal, Смертное невежество, Ignorancia mortal, เขลาเยี่ยงมนุษย์, ign
Al-Hezmin's Crest, Insigne d'Al-Hezmin, Wappen von Al-Hezmin, アルヘズミンの紋章, Coroa de Al-Hezmin, Герб Аль-Хезмина, Emblema de Al-Hezmin, ตราของอัล-เฮซมิน, al-hezmins-crest
Sulphite Scarab, Scarabée de Sulfite, Sulfit-Skarabäus, サルファイトスカラベ, Escaravelho de Sulfito, Сульфитовый скарабей, Escarabajo de sulfito, สคารับซัลไฟต์, sulphite-scarab
Wailing Essence of Greed, Essence gémissante d'Avarice, Klagende Essenz der Gier, 呻きのエッセンス（貪欲）, Essência da Ganância Lamentante, Вопящая сущность жадности, Esencia lamentosa de avaricia, Wailing Essence of Greed, wailing-essence-of-greed
Wailing Essence of Zeal, Essence gémissante de Zèle, Klagende Essenz des Eifers, 呻きのエッセンス（熱狂）, Essência do Zelo Lamentante, Вопящая сущность усердия, Esencia lamentosa de fervor, Wailing Essence of Zeal, wailing-essence-of-zeal
Maven's Chisel of Divination, Burin de la Prodige de la Divination, Seherinmeißel der Weissagung, メイヴェンの占いのたがね, Cinzel da Maven da Adivinhação, Резец Мейвен предсказания, Cincel de la Especialista de adivinación, สิ่วเมเวน แห่งการพยากรณ์, mavens-chisel-of-divination
Gemcutter's Prism, Prisme de lapidaire, Prisma des Gemmenschneiders, 宝石細工師のプリズム, Prisma do Lapidário, Призма камнереза, Prisma del tallador de gemas, Gemcutter's Prism, gcp
Wailing Essence of Wrath, Essence gémissante de Fureur, Klagende Essenz des Zorns, 呻きのエッセンス（憤怒）, Essência da Ira Lamentante, Вопящая сущность гнева, Esencia lamentosa de ira, Wailing Essence of Wrath, wailing-essence-of-wrath
Scarab of Hunted Traitors, Scarabée des Traîtres persécutés, Skarabäus der gejagten Verräter, 追われている裏切り者のスカラベ, Escaravelho dos Traidores Assombrados, Скарабей затравленных предателей, Escarabajo de traidores cazados, สคารับ แห่งผู้ทรยศที่ถูกล่า, scarab-of-hunted-traitors
Oil Extractor, Extracteur d'Huile, Öl-Extrahierer, オイル抽出機, Extrator de Óleo, Экстрактор масел, Extractor de aceite, ตัวสกัดน้ำมัน, oil-extractor
Timeless Vaal Splinter, Esquille intemporelle des Vaals, Immerwährender Splitter der Vaal, ヴァールの時知らずの破片, Lasca Atemporal Vaal, Вневременной осколок ваал, Fragmento atemporal vaal, ชิ้นส่วนวาล์เหนือกาลเวลา, timeless-vaal-splinter
Shrieking Essence of Torment, Essence stridente de Tourment, Kreischende Essenz der Folter, 喚きのエッセンス（苦悩）, Essência do Tormento Berrante, Визжащая сущность мучения, Esencia chillante de tormento, Shrieking Essence of Torment, shrieking-essence-of-torment
Deafening Essence of Sorrow, Essence assourdissante de Chagrin, Ohrenbetäubende Essenz der Trauer, 慟哭のエッセンス（悲哀）, Essência da Mágoa Ensurdecedora, Оглушающая сущность печали, Esencia ensordecedora de pena, Deafening Essence of Sorrow, deafening-essence-of-sorrow
Wailing Essence of Anguish, Essence gémissante d'Angoisse, Klagende Essenz der Qual, 呻きのエッセンス（苦悶）, Essência da Agonia Lamentante, Вопящая сущность горя, Esencia lamentosa de angustia, Wailing Essence of Anguish, wailing-essence-of-anguish
Shrieking Essence of Suffering, Essence stridente de Souffrance, Kreischende Essenz des Leids, 喚きのエッセンス（苦痛）, Essência do Sofrimento Berrante, Визжащая сущность страдания, Esencia chillante de sufrimiento, Shrieking Essence of Suffering, shrieking-essence-of-suffering
Obscured Delirium Orb, Orbe indiscernable de Délire, Obskure Sphäre des Deliriums, 不明瞭なデリリウムオーブ, Orbe Delirante Obscura, Затемнённая Сфера Делириума, Orbe de delirio oscuro, ลูกแก้วเดลิเรียมมืดมัว, obscured-delirium-orb
Tattoo of the Arohongui Scout, Tatouage de l'Éclaireur d'Arohongui, Tätowierung des Arohongui-Spähers, アロホングイの偵察者のタトゥー, Tatuagem do Batedor de Aronhongui, Татуировка Разведчика Арохонгуи, Tatuaje de explorador de Arohongui, ลายสัก นักสอดแนมอะโรฮอนงุย, tattoo-of-the-arohongui-scout
Influencing Scarab of Hordes, Scarabée d'Influence des Hordes, Beeinflussender Skarabäus der Horden, 多勢のインフルエンススカラベ, Escaravelho da Influência das Hordas, Влиятельный скарабей орд, Escarabajo de influencia de hordas, สคารับอิทธิพล แห่งโขยง, influencing-scarab-of-hordes
Breach Scarab of the Dreamer, Scarabée de Brèche du Rêveur, Riss-Skarabäus des Träumers, 夢見し者のブリーチスカラベ, Escaravelho da Fenda do Sonhador, Скарабей Разлома мечтателя, Escarabajo de fisura del soñador, สคารับบรีช แห่งผู้ฝันใฝ่, breach-scarab-of-the-dreamer
Abyss Scarab of Emptiness, Scarabée de l'Abysse du Vide, Abgrund-Skarabäus der Leere, 空虚のアビススカラベ, Escaravelho do Abismo do Vazio, Скарабей Бездны пустоты, Escarabajo de abismo de vacío, สคารับอะบิส แห่งความว่างเปล่า, abyss-scarab-of-emptiness
Tattoo of the Tukohama Warmonger, Tatouage du Belliciste de Tukohama, Tätowierung des Tukohama-Kriegstreibers, トゥコハマのウォーモンガーのタトゥー, Tatuagem do Guerrilheiro de Tukohama, Татуировка Зачинщика войны Тукохамы, Tatuaje de belicista de Tukohama, ลายสัก ผู้ก่อศึกทูโคฮาม่า, tattoo-of-the-tukohama-warmonger
Valdo's Puzzle Box, Casse-tête de Valdo, Valdos Rätselkiste, ヴァルドのパズルボックス, Quebra-Cabeças de Valdo, Куб загадок Валдо, Caja de puzles de Valdo, กล่องตัวต่อวาลโด, valdos-puzzle-box
Gemcutter's Incubator, Incubateur du lapidaire, Inkubator des Gemmenschneiders, 宝石職人のインキュベーター, Incubador do Lapidário, Инкубатор камнереза, Incubadora del tallador de gemas, ตัวบ่มฟักช่างเจียระไน, gemcutters-incubator
Unrelenting Timeless Vaal Emblem, Emblème perpétuel des Vaal, Unerbittliches immerwährendes Emblem der Vaal, とどまることのない時知らずのヴァールの徽章, Emblema Atemporal Vaal Implacável, Непримиримый вневременной знак ваал, Emblema atemporal implacable vaal, ตราสัญลักษณ์วาล์เหนือกาลเวลาไม่รู้สิ้น, uber-timeless-vaal-emblem
Abyss Scarab, Scarabée de l'Abysse, Abgrund-Skarabäus, アビススカラベ, Escaravelho do Abismo, Скарабей Бездны, Escarabajo de abismo, สคารับอะบิส, abyss-scarab
Deafening Essence of Loathing, Essence assourdissante d'Aversion, Ohrenbetäubende Essenz der Abscheu, 慟哭のエッセンス（嫌悪）, Essência da Repugnância Ensurdecedora, Оглушающая сущность отвращения, Esencia ensordecedora de aversión, Deafening Essence of Loathing, deafening-essence-of-loathing
Deafening Essence of Misery, Essence assourdissante de Détresse, Ohrenbetäubende Essenz des Elends, 慟哭のエッセンス（悲惨）, Essência da Miséria Ensurdecedora, Оглушающая сущность тоски, Esencia ensordecedora de miseria, Deafening Essence of Misery, deafening-essence-of-misery
Mortal Set, Ensemble mortifère, Tödliches Set, 定命セット, Conjunto Mortal, Набор Смертных, Set mortal, ชุดเยี่ยงมนุษย์, mortal-set
Weeping Essence of Contempt, Essence larmoyante de Dédain, Wimmernde Essenz der Verachtung, 嘆きのエッセンス（侮蔑）, Essência da Desgraça Lamuriante, Плачущая сущность презрения, Esencia llorosa de desprecio, Weeping Essence of Contempt, weeping-essence-of-contempt
Omen of Connections, Présage de connexions, Omen der Verbindungen, 接続のお告げ, Presságio das Conexões, Предсказание связей, Augurio de conexiones, ลางบอกเหตุเชื่อมโยง, omen-of-connections
Ancient Orb, Orbe antique, Uralte Sphäre, 古代のオーブ, Orbe Ancestral, Древняя сфера, Orbe antiguo, Ancient Orb, ancient-orb
Unstable Catalyst, Catalyseur instable, Instabiler Katalysator, 不安定なカタリスト, Catalisador Instável, Нестабильный катализатор, Catalizador inestable, Unstable Catalyst, unstable-catalyst
Lucent Fossil, Fossile brillant, Glänzendes Fossil, 輝く化石, Fóssil Luminoso, Светлое ископаемое, Fósil brillante, Lucent Fossil, lucent-fossil
Tattoo of the Kitava Shaman, Tatouage du Chaman de Kitava, Tätowierung des Kitava-Schamanen, キタヴァのシャーマンのタトゥー, Tatuagem do Xamã de Kitava, Татуировка Шамана Китавы, Tatuaje de chamán de Kitava, ลายสัก คนทรงคิทาวา, tattoo-of-the-kitava-shaman
Abyssal Incubator, Incubateur abyssal, Abgründiger Inkubator, アビスのインキュベーター, Incubador Abissal, Инкубатор Бездны, Incubadora abisal, ตัวบ่มฟักเบื้องลึก, abyssal-incubator
Tattoo of the Tawhoa Scout, Tatouage de l'Éclaireur de Tawhoa, Tätowierung des Tawhoa-Spähers, タウホアの偵察者のタトゥー, Tatuagem do Batedor de Tawhoa, Татуировка Разведчика Тахоа, Tatuaje de explorador de Tawhoa, ลายสัก นักสอดแนมทาฟัว, tattoo-of-the-tawhoa-scout
Regal Shard, Éclat royal, Hoheitliche Scherbe, 王者の欠片, Lasca Régia, Осколок царей, Esquirla regia, ชิ้นส่วน Regal, regal-shard
Influencing Scarab of the Shaper, Scarabée d'Influence du Façonneur, Beeinflussender Skarabäus des Schöpfers, シェイパーのインフルエンススカラベ, Escaravelho da Influência do Criador, Влиятельный скарабей Создателя, Escarabajo de influencia del creador, สคารับอิทธิพล แห่งเชปเปอร์, influencing-scarab-of-the-shaper
Opulent Fossil, Fossile luxuriant, Opulentes Fossil, 華美な化石, Fóssil Opulento, Богатое ископаемое, Fósil opulento, Opulent Fossil, opulent-fossil
Ritual Scarab of Selectiveness, Scarabée de Rituel de la Sélectivité, Ritual-Skarabäus der Selektion, 選択性のリチュアルスカラベ, Escaravelho do Ritual da Seletividade, Ритуальный скарабей избранности, Escarabajo de ritual de selectividad, สคารับพิธีกรรม แห่งการเลือกสรร, ritual-scarab-of-selectiveness
Tattoo of the Valako Scout, Tatouage de l'Éclaireur de Valako, Tätowierung des Valako-Spähers, ヴァラコの偵察者のタトゥー, Tatuagem do Batedor de Valako, Татуировка Разведчика Валако, Tatuaje de explorador de Valako, ลายสัก นักสอดแนมวาลาโค, tattoo-of-the-valako-scout
Tattoo of the Kitava Rebel, Tatouage du Rebelle de Kitava, Tätowierung des Kitava-Rebels, キタヴァの反逆者のタトゥー, Tatuagem do Rebelde de Kitava, Татуировка Смутьяна Китавы, Tatuaje de rebelde de Kitava, ลายสัก กบฎคิทาวา, tattoo-of-the-kitava-rebel
Abrasive Catalyst, Catalyseur abrasif, Abschleifender Katalysator, 研磨のカタリスト, Catalisador Abrasivo, Абразивный катализатор, Catalizador abrasivo, Abrasive Catalyst, abrasive-catalyst
Sacrifice at Noon, Sacrifice de midi, Opfergabe bei Mittag, 午刻の生贄, Sacrifício ao Meio Dia, Жертва в полдень, Sacrificio al mediodía, สังเวยย่ำเที่ยง, noon
Ritual Scarab of Wisps, Scarabée de Rituel des Flammeroles, Ritual-Skarabäus der Irrlichter, ウィスプのリチュアルスカラベ, Escaravelho do Ritual dos Espíritos, Ритуальный скарабей огоньков, Escarabajo de ritual de fuegos fatuos, สคารับพิธีกรรม แห่งวิสป์, ritual-scarab-of-wisps
Primal Incubator, Incubateur primitif, Urzeitlicher Inkubator, 原始のインキュベーター, Incubador Primitivo, Первобытный инкубатор, Incubadora primitiva, ตัวบ่มฟักปฐมกาล, primal-incubator
Challenging Incubator, Incubateur complexe, Herausfordernder Inkubator, 挑戦のインキュベーター, Incubador Desafiador, Испытующий инкубатор, Incubadora desafiante, ตัวบ่มฟักท้าทาย, challenging-incubator
Screaming Essence of Torment, Essence hurlante de Tourment, Schreiende Essenz der Folter, 叫びのエッセンス（苦悩）, Essência do Tormento Gritante, Кричащая сущность мучения, Esencia berreante de tormento, Screaming Essence of Torment, screaming-essence-of-torment
Unrelenting Timeless Templar Emblem, Emblème perpétuel des Templiers, Unerbittliches immerwährendes Emblem der Templer, とどまることのない時知らずのテンプラーの徽章, Emblema Atemporal Templário Implacável, Непримиримый вневременной знак храмовников, Emblema atemporal implacable templario, ตราสัญลักษณ์เทมพลาร์เหนือกาลเวลาไม่รู้สิ้น, uber-timeless-templar-emblem
Polaric Invitation, Invitation antipodique, Polare Einladung, 対極の招待状, Convite Polarizado, Полярное приглашение, Invitación polar, คำเชิญขั้วจักรวาล, polaric-invitation
Tattoo of the Valako Shaman, Tatouage du Chaman de Valako, Tätowierung des Valako-Schamanen, ヴァラコのシャーマンのタトゥー, Tatuagem do Xamã de Valako, Татуировка Шамана Валако, Tatuaje de chamán de Valako, ลายสัก คนทรงวาลาโค, tattoo-of-the-valako-shaman
Eldritch Incubator, Incubateur surnaturel, Unheimlicher Inkubator, 不気味なインキュベーター, Incubador do Ancião, Мистический инкубатор, Incubadora sobrenatural, ตัวบ่มฟักผิดธรรมชาติ, eldritch-incubator
Fine Delirium Orb, Orbe raffiné de Délire, Edle Sphäre des Deliriums, 上質なデリリウムオーブ, Orbe Delirante Refinado, Прекрасная сфера Делириума, Orbe de delirio elegante, ลูกแก้วเดลิเรียมประณีต, fine-delirium-orb
Wailing Essence of Doubt, Essence gémissante d'Incertitude, Klagende Essenz des Zweifels, 呻きのエッセンス（疑心）, Essência da Hesitação Lamentante, Вопящая сущность сомнения, Esencia lamentosa de duda, Wailing Essence of Doubt, wailing-essence-of-doubt
Horned Scarab of Tradition, Scarabée cornu de la Tradition, Gehörnter Skarabäus der Tradition, 伝統の有角のスカラベ, Escaravelho Chifrudo da Tradição, Рогатый скарабей традиций, Escarabajo cornudo de tradición, สคารับมีเขา แห่งประเพณี, horned-scarab-of-tradition
Tattoo of the Ramako Scout, Tatouage de l'Éclaireur de Ramako, Tätowierung des Ramako-Spähers, ラマコの偵察者のタトゥー, Tatuagem do Batedor de Ramako, Татуировка Разведчика Рамако, Tatuaje de explorador de Ramako, ลายสัก นักสอดแนมรามาโค, tattoo-of-the-ramako-scout
Greater Eldritch Ichor, Ichor surnaturel majeur, Größerer übernatürlicher Ichor, エルドリッチイコル（大）, Fluido Ancestral Maior, Крупный зловещий ихор, Icor sobrenatural mayor, น้ำหนองผิดธรรมชาติชั้นสูง, greater-eldritch-ichor
Cartography Scarab of Risk, Scarabée de Cartographie du Risque, Kartographie-Skarabäus des Risikos, リスクの地図製作のスカラベ, Escaravelho da Cartografia do Risco, Скарабей картографии риска, Escarabajo de cartografía de riesgo, สคารับแผนที่ แห่งความเสี่ยง, cartography-scarab-of-risk
Orb of Fusing, Orbe de fusion, Verbindungssphäre, 結合のオーブ, Orbe da Fusão, Сфера соединения, Orbe de fusión, Orb of Fusing, fusing
Omen of Brilliance, Présage de virtuosité, Omen der Brillanz, 才気のお告げ, Presságio do Esplendor, Предсказание великолепия, Augurio de brillantez, ลางบอกเหตุปราดเปรื่อง, omen-of-brilliance
Foreboding Delirium Orb, Orbe sinistre de Délire, Unheilverkündende Sphäre des Deliriums, 凶兆のデリリウムオーブ, Orbe Delirante Auspicioso, Таинственная сфера Делириума, Orbe de delirio premonitorio, ลูกแก้วเดลิเรียมอันเป็นลาง, foreboding-delirium-orb
Harvest Scarab of Cornucopia, Scarabée du Bosquet de la Corne d'abondance, Hain-Skarabäus der Fülle, 豊饒のハーベストスカラベ, Escaravelho da Colheita da Cornucópia, Скарабей Жатвы изобилия, Escarabajo de cosecha de cornucopia, สคารับฮาร์เวสต์ แห่งความอุดมสมบูรณ์, harvest-scarab-of-cornucopia
Eternal Orb, Orbe éternel, Sphäre der Ewigkeit, 永遠のオーブ, Orbe Eterno, Сфера вечного, Orbe eterno, Eternal Orb, eternal
Torment Scarab, Scarabée du Tourment, Folter-Skarabäus, トーメントスカラベ, Escaravelho Atormentado, Скарабей Мучения, Escarabajo de tormento, สคารับผีตายโหง, torment-scarab
Whispering Essence of Hatred, Essence murmurante de Haine, Flüsternde Essenz des Hasses, 囁きのエッセンス（憎悪）, Essência do Ódio Sussurrante, Шепчущая сущность ненависти, Esencia susurrante de odio, Whispering Essence of Hatred, whispering-essence-of-hatred
Vaal Reliquary Key, Clé du Reliquaire vaal, Schlüssel zur Vaal-Reliquienkammer, ヴァールの聖廟の鍵, Chave do Relicário Vaal, Ключ от Реликвария ваал, Llave del Relicario vaal, กุญแจคลังวัตถุโบราณวาล์, vaal-reliquary-key
Mortal Grief, Chagrin mortifère, Tödliche Trauer, 定命の者の苦悩, Pesar Mortal, Смертное уныние, Dolor mortal, โศกสลดเยี่ยงมนุษย์, grie
Mortal Rage, Rage mortifère, Tödliche Wut, 定命の者の怒り, Fúria Mortal, Смертный гнев, Furia mortal, เดือดดาลเยี่ยงมนุษย์, rage
Divine Vessel, Réceptacle divin, Göttliches Gefäß, 神の器, Recipiente Divino, Божественный сосуд, Recipiente divino, คนโทศักดิ์สิทธิ์, divine-vessel
Tattoo of the Rongokurai Turtle, Tatouage de la Tortue de Rongokurai, Tätowierung des Rongokurai-Schildkröte, ロンゴクライの亀のタトゥー, Tatuagem da Tartaruga de Rongokurai, Татуировка Черепахи Ронгокураи, Tatuaje de tortuga de Rongokurai, ลายสัก เต่ารอนโงคูรัย, tattoo-of-the-rongokurai-turtle
Deafening Essence of Dread, Essence assourdissante d'Effroi, Ohrenbetäubende Essenz der Furcht, 慟哭のエッセンス（恐怖）, Essência do Pavor Ensurdecedora, Оглушающая сущность жути, Esencia ensordecedora de terror, Deafening Essence of Dread, deafening-essence-of-dread
Tainted Orb of Fusing, Orbe de fusion impur, Korrosive Verbindungssphäre, 汚染された結合のオーブ, Orbe da Fusão Corroído, Порочная сфера соединения, Orbe de fusión contaminado, Tainted Orb of Fusing, tainted-orb-of-fusing
Deafening Essence of Anguish, Essence assourdissante d'Angoisse, Ohrenbetäubende Essenz der Qual, 慟哭のエッセンス（苦悶）, Essência da Agonia Ensurdecedora, Оглушающая сущность горя, Esencia ensordecedora de angustia, Deafening Essence of Anguish, deafening-essence-of-anguish
Decaying Fragment, Fragment de Décomposition, Zerfallendes Fragment, 崩壊の断片, Fragmento Decadente, Разлагающий фрагмент, Fragmento decadente, ชิ้นส่วนเสื่อมสลาย, decaying-fragment
Whispering Incubator, Incubateur chuchotant, Flüsternder Inkubator, 囁きのインキュベーター, Incubador Sussurrante, Шепчущий инкубатор, Incubadora susurrante, ตัวบ่มฟักพร่ำกระซิบ, whispering-incubator
Titanic Scarab, Scarabée titanesque, Titanischer Skarabäus, タイタンのスカラベ, Escaravelho Titânico, Титанический скарабей, Escarabajo titánico, สคารับมหึมา, titanic-scarab
Bestiary Scarab of the Herd, Scarabée du Bestiaire du Troupeau, Bestien-Skarabäus der Herde, 群れのベスティアリースカラベ, Escaravelho do Bestiário do Rebanho, Скарабей Бестиария стаи, Escarabajo de bestiario de manada, สคารับรวมสัตว์ แห่งฝูงสัตว์, bestiary-scarab-of-the-herd
Cosmic Reliquary Key, Clé du Reliquaire cosmique, Schlüssel zur Kosmischen Reliquienkammer, 宇宙の聖廟の鍵, Chave do Relicário Cósmico, Ключ от Космического Реликвария, Llave del Relicario cósmico, กุญแจคลังวัตถุโบราณจักรวาล, cosmic-reliquary-key
Divination Scarab of The Cloister, Scarabée de Divination du Cloître, Weissagungs-Skarabäus des Klosters, 学院の占いのスカラベ, Escaravelho da Adivinhação do Cláustro, Скарабей предсказания тлетворности, Escarabajo de adivinación del claustro, สคารับไพ่พยากรณ์ แห่งอาศรม, divination-scarab-of-the-cloister
Tempering Catalyst, Catalyseur trempé, Härtender Katalysator, 焼き直しのカタリスト, Catalisador Moderado, Закаляющий катализатор, Catalizador templado, Tempering Catalyst, tempering-catalyst
Wailing Essence of Anger, Essence gémissante de Colère, Klagende Essenz der Wut, 呻きのエッセンス（怒り）, Essência da Cólera Lamentante, Вопящая сущность злобы, Esencia lamentosa de rabia, Wailing Essence of Anger, wailing-essence-of-anger
Infused Engineer's Orb, Orbe d'ingénieur infusé, Verstärkte Sphäre des Ingenieurs, 強化された技師のオーブ, Orbe Infundido do Engenheiro, Заряженная сфера инженера, Orbe del ingeniero infundido, Infused Engineer's Orb, infused-engineers-orb
Weeping Essence of Fear, Essence larmoyante de Peur, Wimmernde Essenz der Angst, 嘆きのエッセンス（不安）, Essência do Medo Lamuriante, Плачущая сущность страха, Esencia llorosa de miedo, Weeping Essence of Fear, weeping-essence-of-fear
Screaming Essence of Spite, Essence hurlante d'Acrimonie, Schreiende Essenz der Bosheit, 叫びのエッセンス（悪意）, Essência do Rancor Gritante, Кричащая сущность неприязни, Esencia berreante de rencor, Screaming Essence of Spite, screaming-essence-of-spite
Tattoo of the Hinekora Shaman, Tatouage du Chaman d'Hinekora, Tätowierung des Hinekora-Schamanen, ヒネコラのシャーマンのタトゥー, Tatuagem do Xamã de Hinekora, Татуировка Шамана Хинекоры, Tatuaje de chamán de Hinekora, ลายสัก คนทรงฮิเนโครา, tattoo-of-the-hinekora-shaman
Reality Fragment, Fragment de Réalité, Existenzielles Fragment, 実在の断片, Fragmento da Realidade, Фрагмент реальности, Fragmento de realidad, ชิ้นส่วนความเป็นจริง, reality-fragment
Horned Scarab of Preservation, Scarabée cornu de la Préservation, Gehörnter Skarabäus der Bewahrung, 保存の有角のスカラベ, Escaravelho Chifrudo da Preservação, Рогатый скарабей сохранения, Escarabajo cornudo de preservación, สคารับมีเขา แห่งการอนุรักษ์, horned-scarab-of-preservation
Essence of Delirium, Essence de Délire, Essenz des Deliriums, 錯乱のエッセンス, Essência do Delírio, Сущность бреда, Esencia de delirio, Essence of Delirium, essence-of-delirium
Whispering Essence of Greed, Essence murmurante d'Avarice, Flüsternde Essenz der Gier, 囁きのエッセンス（貪欲）, Essência da Ganância Sussurrante, Шепчущая сущность жадности, Esencia susurrante de avaricia, Whispering Essence of Greed, whispering-essence-of-greed
Beyond Scarab of Resurgence, Scarabée d'Ailleurs de la Résurgence, Jenseits-Skarabäus der Wiederauferstehung, 復活のビヨンドスカラベ, Escaravelho do Além do Ressurgimento, Скарабей Иномирья возрождения, Escarabajo del más allá de resurgencia, สคารับต่างมิติ แห่งการฟื้นคืน, beyond-scarab-of-resurgence
Curiosity, Curiosité, Neugier, 好奇心, Curiosidade, Любопытство, Curiosidad, Curiosity, curiosity
Ornate Incubator, Incubateur orné, Verzierter Inkubator, 絢爛たるインキュベーター, Incubador Ornamental, Изысканный инкубатор, Incubadora ornamentada, ตัวบ่มฟักหรูหรา, ornate-incubator
Blight Scarab of the Blightheart, Scarabée de l'Infestation du Cœur infesté, Befall-Skarabäus des befallenen Herzens, ブライトハートのブライトスカラベ, Escaravelho da Infestação do Coração Infestado, Скарабей Скверны сердцевины, Escarabajo de plaga de corazón infestado, สคารับไบล์ท แห่งหัวใจไบล์ท, blight-scarab-of-the-blightheart
Legion Scarab of Officers, Scarabée de Légion des Officiers, Legion-Skarabäus des Offiziers, 将校のリージョンスカラベ, Escaravelho da Legião dos Oficiais, Скарабей Легиона офицеров, Escarabajo de legión de oficiales, สคารับกองพัน แห่งนายทหาร, legion-scarab-of-officers
Scrap Metal, Ferraille, Metallreste, 金属くず, Ferro Velho, Металлолом, Restos de metal, เศษโลหะ, scrap-metal
The Maven's Writ, Le Décret de la Prodige, Das Schriftstück der Seherin, メイヴェンの召喚状, A Citação de Maven, Веление Мейвен, Orden de la Especialista, หมายจากเมเวน, the-mavens-writ
Delirium Scarab, Scarabée du Délire, Delirium-Skarabäus, デリリウムスカラベ, Escaravelho do Delírio, Скарабей Делириума, Escarabajo de delirio, สคารับเดลิเรียม, delirium-scarab
Jagged Fossil, Fossile tranchant, Gezacktes Fossil, ギザギザの化石, Fóssil Dentado, Шероховатое ископаемое, Fósil dentado, Jagged Fossil, jagged-fossil
Shrieking Essence of Rage, Essence stridente de Rage, Kreischende Essenz der Rage, 喚きのエッセンス（激怒）, Essência da Raiva Berrante, Визжащая сущность ярости, Esencia chillante de furia, Shrieking Essence of Rage, shrieking-essence-of-rage
Tattoo of the Ngamahu Warrior, Tatouage du Guerrier de Ngamahu, Tätowierung des Ngamahu-Kriegers, ナマフの戦士のタトゥー, Tatuagem do Guerreiro de Ngamahu, Татуировка Воина Нгамаху, Tatuaje de guerrero de Ngamahu, ลายสัก นักรบนามาฮู, tattoo-of-the-ngamahu-warrior
Gilded Fossil, Fossile doré, Vergoldetes Fossil, 金色の化石, Fóssil Dourado, Позолоченное ископаемое, Fósil dorado, Gilded Fossil, gilded-fossil
Betrayal Scarab of Reinforcements, Scarabée du Syndicat des Renforts, Syndikat-Skarabäus der Verstärkungen, 増援のビトレイアルスカラベ, Escaravelho da Traição dos Reforços, Скарабей Предательства подкреплений, Escarabajo de traición de refuerzos, สคารับองค์กรทรยศ แห่งกำลังเสริม, betrayal-scarab-of-reinforcements
Scorched Fossil, Fossile calciné, Angesengtes Fossil, 焦げた化石, Fóssil Cáustico, Опалённое ископаемое, Fósil ardiente, Scorched Fossil, scorched-fossil
Weeping Essence of Hatred, Essence larmoyante de Haine, Wimmernde Essenz des Hasses, 嘆きのエッセンス（憎悪）, Essência do Ódio Lamuriante, Плачущая сущность ненависти, Esencia llorosa de odio, Weeping Essence of Hatred, weeping-essence-of-hatred
Indigo Oil, Huile indigo, Indigofarbenes Öl, 藍色のオイル, Óleo Índigo, Масло индиго, Aceite índigo, Indigo Oil, indigo-oil
Blacksmith's Whetstone, Pierre à aiguiser de forgeron, Schleifstein, 鍛冶屋の砥石, Amolador do Ferreiro, Точильный камень, Piedra de afilar, Blacksmith's Whetstone, whetstone
Domination Scarab of Apparitions, Scarabée de Domination des Apparitions, Schrein-Skarabäus der Geistererscheinungen, 幻影のドミネーションスカラベ, Escaravelho do Domínio das Aparições, Скарабей Господства призраков, Escarabajo de dominación de apariciones, สคารับแท่นบูชา แห่งผีสาง, domination-scarab-of-apparitions
