// Currency Translations
// Order: English, French, German, Japanese, Portuguese, Russian, Spanish, Thai

Warlord's Exalted Orb, Orbe exalté du Seigneur de guerre, Erhabene Sphäre des Kriegsfürsten, ウォーロードの高貴なオーブ, Orbe Exaltado do Senhor da Guerra, Сфера возвышения вождя, Orbe exaltado del Jefe de guerra, Warlord's Exalted Orb
Weeping Essence of Anger, Essence larmoyante de Colère, Wimmernde Essenz der Wut, 嘆きのエッセンス（怒り）, Essência da Cólera Lamuriante, Плачущая сущность злобы, Esencia llorosa de rabia, Weeping Essence of Anger
Weeping Essence of Contempt, Essence larmoyante de Dédain, Wimmernde Essenz der Verachtung, 嘆きのエッセンス（侮蔑）, Essência da Desgraça Lamuriante, Плачущая сущность презрения, Esencia llorosa de desprecio, Weeping Essence of Contempt
Weeping Essence of Doubt, Essence larmoyante d'Incertitude, Wimmernde Essenz des Zweifels, 嘆きのエッセンス（疑心）, Essência da Hesitação Lamuriante, Плачущая сущность сомнения, Esencia llorosa de duda, Weeping Essence of Doubt
Weeping Essence of Fear, Essence larmoyante de Peur, Wimmernde Essenz der Angst, 嘆きのエッセンス（不安）, Essência do Medo Lamuriante, Плачущая сущность страха, Esencia llorosa de miedo, Weeping Essence of Fear
Weeping Essence of Greed, Essence larmoyante d'Avarice, Wimmernde Essenz der Gier, 嘆きのエッセンス（貪欲）, Essência da Ganância Lamuriante, Плачущая сущность жадности, Esencia llorosa de avaricia, Weeping Essence of Greed
Weeping Essence of Hatred, Essence larmoyante de Haine, Wimmernde Essenz des Hasses, 嘆きのエッセンス（憎悪）, Essência do Ódio Lamuriante, Плачущая сущность ненависти, Esencia llorosa de odio, Weeping Essence of Hatred
Weeping Essence of Rage, Essence larmoyante de Rage, Wimmernde Essenz der Rage, 嘆きのエッセンス（激怒）, Essência da Raiva Lamuriante, Плачущая сущность ярости, Esencia llorosa de furia, Weeping Essence of Rage
Weeping Essence of Sorrow, Essence larmoyante de Chagrin, Wimmernde Essenz der Trauer, 嘆きのエッセンス（悲哀）, Essência da Mágoa Lamuriante, Плачущая сущность печали, Esencia llorosa de pena, Weeping Essence of Sorrow
Weeping Essence of Suffering, Essence larmoyante de Souffrance, Wimmernde Essenz des Leids, 嘆きのエッセンス（苦痛）, Essência do Sofrimento Lamuriante, Плачущая сущность страдания, Esencia llorosa de sufrimiento, Weeping Essence of Suffering
Weeping Essence of Torment, Essence larmoyante  de Tourment, Wimmernde Essenz der Folter, 嘆きのエッセンス（苦悩）, Essência do Tormento Lamuriante, Плачущая сущность мучения, Esencia llorosa de tormento, Weeping Essence of Torment
Weeping Essence of Woe, Essence larmoyante d'Affliction, Wimmernde Essenz des Kummers, 嘆きのエッセンス（悲痛）, Essência da Angústia Lamuriante, Плачущая сущность скорби, Esencia llorosa de aflicción, Weeping Essence of Woe
Weeping Essence of Wrath, Essence larmoyante de Fureur, Wimmernde Essenz des Zorns, 嘆きのエッセンス（憤怒）, Essência da Ira Lamuriante, Плачущая сущность гнева, Esencia llorosa de ira, Weeping Essence of Wrath
Whispering Delirium Orb, Orbe chuchotant de Délire, Flüsternde Sphäre des Deliriums, 囁きのデリリウムオーブ, Orbe Delirante Sussurrante, Шепчущая сфера Делириума, Orbe de delirio susurrante, ลูกแก้วเดลิเรียมพร่ำกระซิบ
Whispering Essence of Contempt, Essence murmurante de Dédain, Flüsternde Essenz der Verachtung, 囁きのエッセンス（侮蔑）, Essência da Desgraça Sussurrante, Шепчущая сущность презрения, Esencia susurrante de desprecio, Whispering Essence of Contempt
Whispering Essence of Greed, Essence murmurante d'Avarice, Flüsternde Essenz der Gier, 囁きのエッセンス（貪欲）, Essência da Ganância Sussurrante, Шепчущая сущность жадности, Esencia susurrante de avaricia, Whispering Essence of Greed
Whispering Essence of Hatred, Essence murmurante de Haine, Flüsternde Essenz des Hasses, 囁きのエッセンス（憎悪）, Essência do Ódio Sussurrante, Шепчущая сущность ненависти, Esencia susurrante de odio, Whispering Essence of Hatred
Whispering Essence of Woe, Essence murmurante d'Affliction, Flüsternde Essenz des Kummers, 囁きのエッセンス（悲痛）, Essência da Angústia Sussurrante, Шепчущая сущность скорби, Esencia susurrante de aflicción, Whispering Essence of Woe
Whispering Incubator, Incubateur chuchotant, Flüsternder Inkubator, 囁きのインキュベーター, Incubador Sussurrante, Шепчущий инкубатор, Incubadora susurrante, ตัวบ่มฟักพร่ำกระซิบ
Wild Crystallised Lifeforce, Force vitale sauvage cristallisée, Wilde kristallisierte Lebenskraft, 結晶化したワイルドライフフォース, Força Vital Cristalizada Selvagem, Дикая кристализованная жизненная сила, Fuerza vital salvaje cristalizada, ผลึกพลังแห่งชีวิตเกรี้ยวกราด
Writhing Invitation, Invitation tortillante, Windende Einladung, 悶える招待状, Convite Contorcido, Извивающееся приглашение, Invitación retorcida, คำเชิญชักดิ้น
Xoph's Breachstone, Pierre de Brèche de Xoph, Xophs Riss-Stein, ゾフのブリーチストーン, Pedra da Fenda de Xoph, Камень Разлома Ксофа, Piedra de fisura de Xoph, ศิลาบรีชแห่งซอปห์
Xoph's Flawless Breachstone, Pierre de Brèche parfaite de Xoph, Xophs makelloser Riss-Stein, ゾフの極限ブリーチストーン, Pedra de Fenda Impecável de Xoph, Безупречный камень Разлома Ксофа, Piedra de fisura perfecta de Xoph, ศิลาบรีชไร้ที่ติแห่งซอปห์
